,Requirement ID,Functional Capability - Level 1,Functional Capability - Level 2,Approval Workflow Process Step,Requirement Description,Priority,Requirement Reference,ABC Function Map,Module,Response Type,Comments,Vendor Score,DMS Interaction
,337,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create additional pages as per requirement with different shapes, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration).",Must Have,Industry Standard,Investment,,,,,N
,338,Monitoring,Transaction Monitoring,Outside of investment approval workflow,- Ability to link any document in the Document Management System from any page and directly access the document. Ability to add any additional document to the list (through drop-down) and upload the document in DMS. Ability to upload full Classification Credit Review Memo in Document Management System before/after approval.,Must Have,Industry Standard,Investment,,,,,Y
,339,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to allow the users of the approval chain to view the document and simultaneously allow the originator of the document (Classification Credit Review Memo) to incorporate some changes (if the Classification Credit Review Memo is in ""draft""/""keep in view"" state) ",Must Have,Workshop,Investment,,,,,N
,340,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to send the Classification Credit Review Memo in MS PowerPoint and Word file formats to the users through email for offline review before submitting it to the reviewer group,Must Have,Workshop,Investment,,,,,N
,341,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to submit Classification Credit Review Memo through pre-defined workflow to the reviewer group for approval,Must Have,Workshop,Investment,,,,,N
,342,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to send email notifications to the reviewer group once the Classification Credit Review Memo is submitted for approval. The system should generate notifications for any state change (approve, reject, etc.) in the Classification Credit Review Memo approval cycle. The notification should be sent to all the users from the current user and down the approval chain",Must Have,Industry Standard,"Business, Investment, Risk",,,,,N
,343,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to review the Classification Credit Review Memo by the users of the reviewer group and provide approval. Electronic signature should be provided by each user in the respective placeholder for the signature. The system should provide a page for the user to capture the MoM from the review meeting (based on a pre-defined template) and should be able to upload the MoM in the Document Management System,Must Have,Industry Standard,"Business, Investment, Risk",,,,,Y
,344,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide a workflow process visualization/dashboard to show the current approval state and associated details (for multiple reviewers - completed review/pending review),Must Have,Workshop,"Business, Investment, Risk",,,,,N
,345,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide voting option during the approval cycle in case a consensus is required between the reviewers as per the defined criteria (Delegation of Authority). The system should be able to capture the voting results and should be able to document that as per predefined template for approval decision.,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,346,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to configure the workflow users and groups (including submitters, reviewers and approvers) and workflow process steps as per requirement. The system should support the change of approval cycle automatically based on the approval level as per defined criteria (Delegation of Authority). The system should allow addition of approval stages beyond the approval level defined in the Delegation of Authority. The system should addition of independent advisors in the users/groups and maintain a repository of those names.",Must Have,Industry Standard,Investment,,,,,N
,347,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to include an activity log for the Classification Credit Review Memo showing information related to date, created by, updated by, approved / rejected by, comments provided by, duration of each approval, etc.",Must Have,Workshop,Investment,,,,,N
,348,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to link all Classification Credit Review Memo related documents into a logical file group,Must Have,Workshop,Investment,,,,,Y
,349,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide CRO/delegated risk team's opinion/endorsement/review comments on the specific section/page of the Transaction Assessment Memo and generate a PDF file for Risk Opinion. The PDF file should be an integral part of each workflow and should be uploaded / stored in a separate folder in the Document Management System.,Must Have,Workshop,Risk,,,,,Y
,350,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to search any Classification Credit Review Memo based on different parameter values e.g. workflow Id, document name, etc. ",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,351,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to generate a Memo for arranging approval of different requests/waivers based on predefined template,Must Have,Workshop,Investment,,,,,N
,352,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to add/update/delete any attribute/view to the Classification Credit Review Memo template,Must Have,Industry Standard,Investment,,,,,N
,353,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to create multi-page Annual Review Memo with the following page views/attributes. The system should provide a page for the user (or users) to create multi-page document with different layouts, shapes, text, etc. based on a pre-defined Annual Review Memo template.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,354,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a summary page with pre-defined layouts, images, text areas,  etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,355,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page background with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,356,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for purpose of proposal with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,357,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for facility overview with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,358,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for financial highlights with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,359,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for stability criteria with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,360,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for exposure with other banks with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,361,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for overall banking relationship and bank checking with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,362,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for account strategy / risk appetite with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,363,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for opportunities with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,364,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for counterparty profitability assessment with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,365,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for collateral, security & support with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,366,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for management assessment with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,367,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for classification, justification & details for Exceptions with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,368,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for repayment sources with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,369,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for detailed customer market status with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,370,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for detailed financial assessment with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,371,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for checklist with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,372,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for exceptions to checklist with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,373,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for means and purpose test with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,374,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for ESG assessment with different shapes, tables, images, text areas, etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,375,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to download the Annual Review Memo in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the Annual Review Memo ",Must Have,Workshop,Investment,,,,,N
,376,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create additional pages as per requirement with different shapes, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration).",Must Have,Industry Standard,Investment,,,,,N
,377,Monitoring,Transaction Monitoring,Outside of investment approval workflow,- Ability to link any document in the Document Management System from any page and directly access the document. Ability to add any additional document to the list (through drop-down) and upload the document in DMS. Ability to upload full Annual Review Memo in Document Management System before/after approval.,Must Have,Workshop,Investment,,,,,Y
,378,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to allow the users of the approval chain to view the document and simultaneously allow the originator of the document (Annual Review Memo) to incorporate some changes (if the Annual Review Memo is in ""draft""/""keep in view"" state) ",Must Have,Workshop,Investment,,,,,N
,379,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to send the Annual Review Memo in MS PowerPoint and Word file formats to the users through email for offline review before submitting it for the Credit and Investment Management Committee approval ,Must Have,Workshop,Investment,,,,,N
,380,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to submit Annual Review Memo through pre-defined workflow for Credit and Investment Management Committee approval,Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,Investment,,,,,N
,381,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to send email notifications to the reviewer group once the Annual Review Memo is submitted for approval. The system should generate notifications for any state change (approve, reject, etc.) in the Annual Review Memo approval cycle. The notification should be sent to all the users from the current user and down the approval chain",Must Have,Industry Standard,"Business, Investment, Risk",,,,,N
,382,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to review the Annual Review Memo by the executive users of the Credit and Investment Management Committee and provide approval. Electronic signature should be provided by each user in the respective placeholder for the signature. The system should provide a page for the user to capture the MoM from the review meeting (based on a pre-defined template) and should be able to upload the MoM in the Document Management System,Must Have,Industry Standard,"Business, Investment, Risk",,,,,Y
,383,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide a workflow process visualization/dashboard to show the current approval state and associated details (for multiple reviewers - completed review/pending review),Must Have,Workshop,"Business, Investment, Risk",,,,,N
,384,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide voting option during the approval cycle in case a consensus is required between the reviewers as per the defined criteria (Delegation of Authority). The system should be able to capture the voting results and should be able to document that as per predefined template for approval decision.,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,385,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to configure the workflow users and groups (including submitters, reviewers and approvers) and workflow process steps as per requirement. The system should support the change of approval cycle automatically based on the approval level as per defined criteria (Delegation of Authority). The system should allow addition of approval stages beyond the approval level defined in the Delegation of Authority. The system should addition of independent advisors in the users/groups and maintain a repository of those names.",Must Have,Industry Standard,Investment,,,,,N
,386,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to generate a report showing counterparty wise detail of all approved facilities,  pricing, tenor, approved security/collateral against each facility, etc. after approval of Annual Review Memo",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,387,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to include an activity log for the Annual Review Memo showing information related to date, created by, updated by, approved / rejected by, comments provided by, duration of each approval, etc.",Must Have,Workshop,Investment,,,,,N
,388,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to link all Annual Review Memo related documents into a logical file group,Must Have,Workshop,"Business, Investment, Risk",,,,,Y
,389,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide CRO/delegated risk team's opinion/endorsement/review comments on the specific section/page of the Transaction Assessment Memo and generate a PDF file for Risk Opinion. The PDF file should be an integral part of each workflow and should be uploaded / stored in a separate folder in the Document Management System.,Must Have,Workshop,Risk,,,,,Y
,390,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to search any Annual Review Memo based on different parameter values e.g. workflow Id, document name, etc. ",Must Have,Workshop,"Business, Investment, Risk",,,,,N
,391,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to generate a Memo for arranging approval of different requests/waivers based on predefined template,Must Have,Workshop,Investment,,,,,N
,392,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to add/update/delete any attribute/view to the Annual Review Memo template,Must Have,Industry Standard,"Investment, Risk",,,,,N
,393,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to create multi-page Transaction Monitoring & Escalation Memo with the following page views/attributes. The system should provide a page for the user (or users) to create multi-page document with different layouts, shapes, text, etc. based on a pre-defined Transaction Monitoring & Escalation Memo template.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,394,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a cover page with pre-defined layouts, images, text areas,  etc.",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,395,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create a page for the project details with different shapes, tables, images, text areas, etc.. The system should be able to pre-populate some of the text areas, attributes, etc. based on the specific identifiers (as per configuration)",Must Have,ABC_SP_WS4_Annual review memo_05.10.23 ABC.docx,Investment,,,,,N
,396,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to download the Transaction Monitoring & Escalation Memo in MS PowerPoint, PDF or MS Word format. The system should ensure separate formatting for both MS PowerPoint and Word file formats of the Transaction Monitoring & Escalation Memo",Must Have,Workshop,Investment,,,,,N
,397,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"- Ability to create additional pages as per requirement with different shapes, tables, images, text areas, etc. The system should be able to pre-populate some of the text areas, attributes, etc. based on the transaction specific identifiers (as per configuration).",Must Have,Industry Standard,Investment,,,,,N
,398,Monitoring,Transaction Monitoring,Outside of investment approval workflow,- Ability to link any document in the Document Management System from any page and directly access the document. Ability to upload full Transaction Monitoring & Escalation Memo in Document Management System before/after approval.,Must Have,Industry Standard,Investment,,,,,Y
,399,Monitoring,Transaction Monitoring,Outside of investment approval workflow,"Ability to keep the Transaction Monitoring & Escalation Memo in ""draft"" state before submitting it for the Legal / Credit and Investment Management Committee / Executive Committee / Board of Directors' approval through the pre-defined workflow. The system should allow the users to update the Transaction Monitoring & Escalation Memo content at this state",Must Have,Workshop,Investment,,,,,N
,400,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to send the Transaction Monitoring & Escalation Memo  in MS PowerPoint and Word file formats to the users through email for offline review before submitting it for the Legal / Credit and Investment Management Committee / Executive Committee / Board of Directors'  approval ,Must Have,Workshop,Investment,,,,,N
,401,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to submit Transaction Monitoring & Escalation Memo through pre-defined workflow for the Legal / Credit and Investment Management Committee / Executive Committee / Board of Directors' approval,Must Have,ABC SP_CI Toolkit New Joiners_Mar2023_Draft.pdf,Investment,,,,,N
,402,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to send email notifications to the reviewer group once Transaction Monitoring & Escalation Memo is submitted for approval,Must Have,Industry Standard,"Business, Investment, Risk",,,,,N
,403,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to review the Transaction Monitoring & Escalation Memo by the executive users of the Legal / Credit and Investment Management Committee / Executive Committee / Board of Directors' and provide approval. Electronic signature should be provided by each user in the respective placeholder for the signature. The system should provide a page for the user to capture the MoM from the review meeting (based on a pre-defined template) and should be able to upload the MoM in the Document Management System,Must Have,Industry Standard,"Business, Investment, Risk",,,,,Y
,404,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide a workflow process visualization/dashboard to show the current approval state and associated details (for multiple reviewers - completed review/pending review),Must Have,Workshop,"Business, Investment, Risk",,,,,N
,405,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to provide voting option during approval cycle in case a consensus required between the reviewers. The system should be able to capture the voting results and should be able to document that as per predefined template for approval decision.,Must Have,Workshop,"Business, Investment, Risk",,,,,N
,406,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to configure the workflow users and groups (including submitters and reviewers) and workflow process steps as per requirement. The system should addition of independent advisors in the users/groups and maintain a repository of those names.,Must Have,Industry Standard,Investment,,,,,N
,407,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to generate a Memo for arranging approval of different requests/waivers based on predefined template,Must Have,Workshop,Investment,,,,,N
,408,Monitoring,Transaction Monitoring,Outside of investment approval workflow,Ability to add/update/delete any attribute/view to the Transaction Monitoring & Escalation Memo template,Must Have,Industry Standard,Investment,,,,,N
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
